ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE_YEARS,YEARS_EMPLOYED,IS_PENSIONER_NO_JOB
1000050,M,N,Y,0,161200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2.0,1,40,28,0
1000051,M,Y,N,0,112700.0,Commercial associate,Higher education,Married,With parents,1,1,0,1,Managers,2.0,1,67,14,0
1000052,F,Y,Y,0,95500.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2.0,1,33,22,0
1000053,F,N,Y,1,125300.0,Commercial associate,Incomplete higher,Married,With parents,1,0,1,0,Medicine staff,2.0,0,55,7,0
1000054,F,N,N,1,149000.0,Pensioner,Higher education,Civil marriage,House / apartment,1,0,0,0,Security staff,2.0,1,51,0,1
1000055,F,N,Y,0,262600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,1,22,21,0
1000056,F,Y,Y,0,57100.0,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Sales staff,2.0,0,38,14,0
1000057,F,N,Y,0,165900.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2.0,0,58,15,0
1000058,M,Y,Y,1,282300.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3.0,0,50,18,0
1000059,M,N,N,0,206300.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2.0,1,41,7,0
1000060,F,Y,Y,0,41800.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,1,67,0,1
1000061,F,N,N,3,190400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Other,5.0,0,24,22,0
1000062,F,N,Y,4,174400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,6.0,0,68,38,0
1000063,F,N,Y,0,304900.0,Working,Higher education,Married,Municipal apartment,1,0,1,0,Core staff,2.0,0,66,36,0
1000064,F,Y,N,0,228300.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Cleaning staff,2.0,0,61,26,0
1000065,F,N,N,1,196400.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Cooking staff,2.0,0,63,1,0
1000066,F,Y,N,0,255900.0,Working,Higher education,Married,House / apartment,1,0,1,0,Other,2.0,0,52,9,0
1000067,M,N,Y,0,179400.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,0,0,Cleaning staff,1.0,0,63,14,0
1000068,M,Y,Y,4,122800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Managers,5.0,1,33,5,0
1000069,F,N,N,0,226900.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,1,1,1,Accountants,2.0,0,58,4,0
1000070,M,N,N,0,129100.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,1,0,Cleaning staff,1.0,1,42,7,0
1000071,M,Y,Y,0,201500.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Laborers,2.0,0,53,11,0
1000072,F,Y,Y,2,225200.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,High skill tech staff,3.0,0,22,22,0
1000073,M,Y,N,2,88400.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,1,0,Cooking staff,4.0,0,54,28,0
1000074,M,N,Y,0,250400.0,Working,Academic degree,Single / not married,House / apartment,1,0,0,0,Security staff,1.0,1,49,0,0
1000075,M,N,N,1,285000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,1,0,Medicine staff,3.0,0,57,13,0
1000076,M,N,N,2,309400.0,Working,Higher education,Widow,House / apartment,1,0,0,0,Cooking staff,3.0,0,64,6,0
1000077,F,N,Y,1,206100.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,1,Medicine staff,3.0,0,44,8,0
1000078,F,Y,Y,0,113300.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,1.0,1,42,0,1
1000079,F,Y,Y,0,146800.0,Pensioner,Higher education,Married,With parents,1,0,0,0,Accountants,2.0,1,53,0,1
1000080,F,N,N,2,128900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,4.0,1,22,38,0
1000081,M,N,N,0,210800.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Drivers,2.0,1,32,17,0
1000082,F,Y,Y,0,266100.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,1,1,0,0,Managers,2.0,0,39,15,0
1000083,M,N,Y,1,131600.0,Working,Incomplete higher,Single / not married,Rented apartment,1,0,0,0,Other,2.0,1,21,8,0
1000084,M,N,Y,1,86500.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,3.0,1,57,36,0
1000085,M,N,N,0,244100.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Security staff,1.0,0,54,9,0
1000086,F,N,Y,0,189900.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Drivers,2.0,0,51,8,0
1000087,F,Y,N,1,96500.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Security staff,3.0,1,51,0,1
1000088,M,Y,Y,0,167700.0,Pensioner,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,2.0,0,42,0,1
1000089,F,N,Y,0,152100.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Accountants,2.0,0,43,26,0
1000090,M,N,Y,0,179100.0,State servant,Secondary / secondary special,Married,With parents,1,1,1,0,High skill tech staff,1.0,0,29,22,0
1000091,F,Y,N,0,209600.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1,0,0,0,Laborers,1.0,0,66,31,0
1000092,F,Y,N,0,200100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,1.0,0,53,37,0
1000093,M,Y,Y,4,206600.0,Working,Incomplete higher,Married,With parents,1,1,0,0,Medicine staff,5.0,0,54,27,0
1000094,M,N,Y,0,174100.0,Pensioner,Higher education,Married,House / apartment,1,1,0,1,Drivers,1.0,1,40,0,1
1000095,F,Y,N,0,49800.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,1.0,0,30,33,0
1000096,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,1.0,0,31,0,0
1000097,M,Y,Y,0,83800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,1,26,31,0
1000098,M,N,N,0,123700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Drivers,2.0,0,31,3,0
1000099,F,N,N,2,124700.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,High skill tech staff,4.0,1,45,13,0
1000100,F,Y,Y,1,214100.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,1,0,1,0,Core staff,3.0,0,55,1,0
1000101,F,N,Y,0,48900.0,Student,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,2.0,0,43,14,0
1000102,M,N,Y,0,110100.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Accountants,1.0,0,47,0,1
1000103,F,N,Y,0,167300.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Cleaning staff,1.0,1,30,15,0
1000104,F,N,N,0,228200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2.0,1,67,19,0
1000105,F,N,Y,0,180900.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,1.0,1,33,3,0
1000106,F,N,Y,0,212100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Other,1.0,0,32,0,0
1000107,M,Y,Y,0,272000.0,Student,Academic degree,Married,House / apartment,1,0,0,1,Accountants,2.0,0,69,35,0
1000108,M,Y,N,0,293700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,0,54,5,0
1000109,F,Y,Y,2,133600.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Security staff,3.0,0,26,0,1
1000110,F,N,Y,0,337200.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,2.0,0,57,15,0
1000111,M,N,Y,2,135200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Managers,3.0,0,68,39,0
1000112,M,N,N,0,268800.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Drivers,2.0,0,60,34,0
1000113,F,Y,Y,1,281100.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,1,0,0,0,Core staff,3.0,0,28,23,0
1000114,M,N,Y,1,161300.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Sales staff,3.0,0,69,25,0
1000115,F,Y,N,2,169400.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Medicine staff,4.0,0,54,37,0
1000116,F,Y,Y,1,80400.0,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,0,0,Accountants,2.0,0,66,17,0
1000117,F,N,N,0,451900.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Cleaning staff,1.0,0,49,9,0
1000118,F,Y,Y,0,160200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2.0,0,46,6,0
1000119,F,Y,N,3,274900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,5.0,0,21,26,0
1000120,F,Y,Y,0,166200.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2.0,0,69,24,0
1000121,F,N,Y,2,78000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,1,Other,4.0,1,49,20,0
1000122,M,Y,Y,2,81900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Cooking staff,4.0,1,65,0,1
1000123,M,N,N,0,139300.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,2.0,1,46,0,1
1000124,M,N,N,2,185200.0,State servant,Incomplete higher,Single / not married,House / apartment,1,0,0,0,Security staff,3.0,1,24,19,0
1000125,F,N,Y,0,131000.0,Working,Incomplete higher,Married,House / apartment,1,0,1,1,Drivers,2.0,0,63,22,0
1000126,M,Y,Y,0,145500.0,Working,Incomplete higher,Married,With parents,1,0,1,0,Other,2.0,1,60,4,0
1000127,M,N,Y,1,187300.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,1,0,Cleaning staff,3.0,0,46,21,0
1000128,M,Y,Y,2,122300.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,4.0,1,43,1,0
1000129,F,N,Y,0,184600.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,1,1,Accountants,2.0,1,41,34,0
1000130,M,N,N,0,141700.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,0,49,20,0
1000131,F,Y,Y,1,233000.0,State servant,Secondary / secondary special,Married,With parents,1,1,0,0,Sales staff,3.0,0,33,23,0
1000132,F,Y,N,1,85700.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,1,Medicine staff,3.0,1,47,6,0
1000133,M,N,Y,1,156600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Laborers,3.0,1,22,32,0
1000134,F,N,N,0,215600.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,1.0,1,31,34,0
1000135,M,N,Y,0,221000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2.0,0,39,28,0
1000136,F,N,Y,0,98800.0,Student,Incomplete higher,Married,House / apartment,1,0,1,0,Cooking staff,1.0,0,37,24,0
1000137,F,N,N,0,273500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,1.0,0,38,24,0
1000138,F,N,Y,2,161800.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cleaning staff,4.0,0,36,0,1
1000139,M,N,N,0,225700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Other,1.0,0,55,6,0
1000140,F,Y,N,0,171300.0,Commercial associate,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2.0,1,53,7,0
1000141,F,N,N,2,210800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3.0,0,37,3,0
1000142,F,N,N,0,221600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,1.0,0,21,16,0
1000143,F,Y,Y,1,353300.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Core staff,3.0,0,21,32,0
1000144,F,Y,Y,0,59300.0,Working,Incomplete higher,Married,Rented apartment,1,0,1,0,Cooking staff,1.0,1,44,39,0
1000145,M,Y,N,0,248600.0,State servant,Higher education,Single / not married,House / apartment,1,0,0,0,Security staff,2.0,0,44,9,0
1000146,M,N,Y,1,230800.0,Commercial associate,Incomplete higher,Married,With parents,1,1,0,0,Core staff,3.0,0,62,18,0
1000147,F,N,Y,2,240700.0,Working,Higher education,Married,House / apartment,1,0,1,0,Other,4.0,0,47,21,0
1000148,F,Y,Y,1,290800.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Laborers,2.0,0,22,30,0
1000149,M,N,N,0,287100.0,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,1.0,1,47,8,0
1000150,F,Y,Y,0,245100.0,Working,Higher education,Separated,Municipal apartment,1,0,1,0,Other,1.0,0,59,7,0
1000151,F,N,Y,2,173000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Sales staff,3.0,0,28,10,0
1000152,M,N,N,1,35900.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Security staff,3.0,1,33,9,0
1000153,F,N,N,0,282100.0,Pensioner,Secondary / secondary special,Widow,With parents,1,1,0,0,Drivers,2.0,0,44,0,1
1000154,M,N,Y,0,58800.0,State servant,Higher education,Separated,Municipal apartment,1,1,0,0,Drivers,1.0,1,51,2,0
1000155,F,Y,Y,0,226700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2.0,0,23,19,0
1000156,M,N,N,0,157700.0,Pensioner,Secondary / secondary special,Separated,Office apartment,1,0,0,0,High skill tech staff,1.0,0,42,0,1
1000157,F,N,Y,2,131000.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,0,Laborers,3.0,1,51,26,0
1000158,F,Y,N,0,342300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Core staff,2.0,0,51,28,0
1000159,F,N,N,0,247300.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2.0,0,50,33,0
1000160,M,Y,Y,2,295600.0,Working,Academic degree,Married,House / apartment,1,0,1,0,Cleaning staff,4.0,0,27,4,0
1000161,F,N,Y,4,93500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,Laborers,5.0,0,52,39,0
1000162,M,Y,Y,2,292400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cooking staff,4.0,0,38,30,0
1000163,M,N,Y,1,337200.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Other,3.0,0,35,25,0
1000164,F,Y,N,3,236100.0,Pensioner,Academic degree,Civil marriage,With parents,1,0,0,0,Managers,5.0,1,29,0,1
1000165,M,Y,Y,0,313900.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,0,Medicine staff,2.0,1,35,15,0
1000166,F,N,N,2,200000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Medicine staff,4.0,0,65,31,0
1000167,F,N,N,0,212300.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Cleaning staff,2.0,0,26,21,0
1000168,M,Y,Y,0,180400.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Laborers,1.0,0,38,31,0
1000169,F,N,Y,0,277200.0,Working,Higher education,Single / not married,House / apartment,1,1,0,1,Cooking staff,1.0,0,46,27,0
1000170,M,N,Y,0,313400.0,Working,Academic degree,Married,House / apartment,1,0,0,0,Cleaning staff,1.0,0,43,1,0
1000171,F,N,Y,2,136500.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Cleaning staff,4.0,0,28,0,1
1000172,M,Y,N,2,103300.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,3.0,0,59,34,0
1000173,F,N,Y,0,208800.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Drivers,2.0,0,54,25,0
1000174,M,N,Y,2,233500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Cooking staff,4.0,0,62,20,0
1000175,M,Y,Y,1,170000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cooking staff,3.0,1,29,20,0
1000176,F,N,Y,0,116700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Managers,2.0,0,49,20,0
1000177,F,N,N,1,176700.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Other,3.0,0,66,17,0
1000178,F,Y,N,0,99500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,High skill tech staff,1.0,0,40,37,0
1000179,F,Y,N,0,182800.0,Working,Higher education,Widow,House / apartment,1,0,0,1,Accountants,2.0,0,21,27,0
1000180,F,Y,N,0,54200.0,State servant,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Medicine staff,1.0,0,46,22,0
1000181,F,N,N,2,189900.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Cooking staff,3.0,0,25,37,0
1000182,F,N,Y,0,236300.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,2.0,0,50,4,0
1000183,M,N,N,0,183500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Other,2.0,0,25,28,0
1000184,F,N,Y,1,209100.0,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,3.0,0,48,9,0
1000185,F,Y,Y,1,192200.0,Working,Lower secondary,Married,Rented apartment,1,1,0,0,Security staff,3.0,1,49,0,0
1000186,M,Y,N,2,214400.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Security staff,4.0,0,43,35,0
1000187,M,Y,N,0,262800.0,State servant,Higher education,Married,House / apartment,1,1,0,0,Laborers,2.0,0,26,31,0
1000188,F,Y,N,2,174300.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Cooking staff,4.0,0,66,0,1
1000189,M,Y,Y,1,261400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,3.0,0,61,5,0
1000190,F,N,N,0,67600.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cleaning staff,1.0,1,50,10,0
1000191,M,Y,Y,1,235000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3.0,1,40,16,0
1000192,M,Y,Y,0,154700.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,48,0,1
1000193,F,Y,N,1,146700.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Other,3.0,0,45,38,0
1000194,M,Y,Y,0,84600.0,Working,Higher education,Married,House / apartment,1,1,0,0,Cooking staff,2.0,1,36,36,0
1000195,M,Y,N,0,109000.0,Working,Higher education,Married,House / apartment,1,1,0,0,Cleaning staff,1.0,1,31,1,0
1000196,F,Y,N,3,144800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,5.0,0,28,3,0
1000197,F,Y,N,2,121800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,4.0,0,67,23,0
1000198,M,N,Y,0,249700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2.0,0,29,20,0
1000199,M,N,Y,1,271600.0,Working,Higher education,Married,House / apartment,1,0,0,0,Medicine staff,3.0,0,62,11,0
1000200,F,N,N,4,325200.0,Commercial associate,Higher education,Widow,House / apartment,1,0,0,0,Managers,6.0,0,43,17,0
1000201,F,N,N,0,119300.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Other,1.0,0,24,0,1
1000202,F,N,Y,1,225800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Other,3.0,0,42,24,0
1000203,M,N,Y,0,109800.0,Working,Higher education,Widow,Office apartment,1,0,0,0,Managers,2.0,0,38,10,0
